,name,admission,theater_release,vod_release,movieCd
0,American Sniper,345782,20150114,20150416,20143754
1,Jupiter Ascending ,309842,20150205,20150507,20149037
2,Run all night,289534,20150319,20150618,20157041
3,Mad Max: Fury Road,3884129,20150514,20150813,20144741
4,San Andreas,1716455,20150603,20150903,20144682
5,Gallows,88777,20150903,20151203,20152869
6,The Intern,3611166,20150924,20151217,20152022
7,Pan,186174,20151008,20160107,20150562
8,Man From U.N.C.L.E,108552,20151028,20160128,20152745
9,In the Heart of the Sea,809841,20151203,20160303,20144683
10,Batman v Superman : Dawn of Justice ,2256691,20160324,20160629,20152781
11,Legend of Tarzan,858406,20160629,20160802,20163661
12,Me Before You,945172,20160601,20160811,20163215
13,Conjuring 2,1928605,20160609,20160831,20162941
14,Suicide Squad,1898220,20160803,20161007,20152963
15,Lights Out,1111284,20160824,20161012,20163217
16,Mil Jeong (The Age of Shadows) (LP),7500457,20160907,20161018,20159646
17,Sully,627424,20160928,20161110,20168891
18,Accountant,69529,20161013,20161124,20160203
19,Fantastic Beasts and Where To Find Them,4667176,20161116,20170112,20162365
20,Storks,323730,20161207,20170124,20163884
21,A Single Rider (LP),351276,20170222,20170309,20161723
22,The LEGO Batman Movie,148760,20170209,20170323,20162873
23,Kong: Skull Island,1689079,20170308,20170407,20168183
24,King Arthur: Legend of the Sword,415714,20170517,20170622,20173961
25,Wonder Woman,2165407,20170531,20170628,20168261
26,Annabelle: Creation,1934312,20170810,20170912,20161081
27,V.I.P (LP),1373342,20170823,20170919,20164174
28,IT ,888826,20170906,20171002,20179696
29,Lego Ninjago Movie,154497,20170928,20171026,20170364
30,Geostorm,1028386,20171019,20171114,20173694
31,Dunkirk,2788682,20170720,20171213,20164621
32,Justice League,1786316,20171115,20171219,20168221
33,Ready Player One,2254430,20180328,20180502,20171122
34,Rampage,1385511,20180412,20180510,20176917
35,Champion (LP),1128774,20180501,20180524,20189783
36,Ocean's 8,1335829,20180613,20180718,20184903
37,The Witch : Part 1. The Subversion,3189091,20180627,20180725,20185341
38,ILLANG : THE WOLF BRIGADE,897548,20180725,20180814,20170942
39,The Meg,527331,20180815,20180912,20183584
40,The Nun,1011580,20180919,20181017,20189262
41,A Star is born,485001,20181009,20181106,20180523
42,Crazy Rich Asians,154297,20181025,20181122,20182403
43,Fantastic Beasts: The Crimes of Grindelwald,2414062,20181114,20181212,20176814
44,Aquaman,5038134,20181219,20190123,20180290
